0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:52:33 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:52:36 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:55:39 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/2 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:21:55:42 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:12:07 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:12:13 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:29:12 +0100] "GET /Offers/rest/view HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:29:15 +0100] "DELETE /Offers/rest/delete/1 HTTP/1.1" 500 4463
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:30:15 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:31:03 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:34:13 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:34:17 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:35:10 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:35:27 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:35:52 +0100] "GET /Offers/rest/view HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:47:01 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:47:10 +0100] "GET /Offers/rest/view HTTP/1.1" 500 4462
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:47:28 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:47:34 +0100] "GET /Offers/rest/view HTTP/1.1" 500 4462
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:02 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:23 +0100] "GET /Offers/rest/view HTTP/1.1" 500 4462
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:24 +0100] "GET /Offers/rest/view HTTP/1.1" 500 4462
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:32 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:33 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:49:38 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:51:17 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:51:53 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:51:59 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:13 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.01 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:21 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.2 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:30 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1..99 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:34 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/1.99 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:40 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:52:44 +0100] "GET /Offers/rest/view HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:53:18 +0100] "GET /Offers/rest/view HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:53:37 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/20 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:22:53:40 +0100] "GET /Offers/rest/view HTTP/1.1" 200 441
